,Salário,Idade,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Brasil,Estado,Linguagem Python,Linguagem R,Linguagem SQL
292,5000.0,"[31,40]",Analista de BI,,não,de 6 a 10 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,1,Rio de Janeiro (RJ),0,0,0
293,7000.0,"[41,50]",Outras,Pequena,não,Não tenho experiência na área de dados,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Outras Engenharias,Outras,1,São Paulo (SP),0,0,0
294,,"[25,30]",,,,Menos de 1 ano,Outras,Graduação/Bacharelado,Outras Engenharias,,1,Rio de Janeiro (RJ),0,0,0
295,1500.0,"[25,30]",Analista de BI,Média,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,1,São Paulo (SP),0,0,0
296,3500.0,"[18,24]",Analista de BI,Média,não,Menos de 1 ano,Outras,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Varejo,1,Santa Catarina (SC),1,0,1
297,,"[31,40]",,,,de 1 a 2 anos,Outras,Doutorado ou Phd,Outras,,0,,0,0,0
298,5000.0,"[31,40]",Outras,Média,não,Não tenho experiência na área de dados,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,,0,0,0
299,14000.0,,Outras,Pequena,não,Não tenho experiência na área de dados,Empreendedor ou Empregado (CNPJ),Pós-graduação,Outras,Área da Saúde,1,Espírito Santo (ES),1,1,0
300,22500.0,"[41,50]",Outras,,não,Mais de 10 anos,Outras,Mestrado,Outras Engenharias,Indústria (Manufatura),1,,1,1,0
301,7000.0,"[31,40]",Outras,,não,Menos de 1 ano,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,São Paulo (SP),0,0,0
302,7000.0,"[31,40]",,Média,sim,Menos de 1 ano,Outras,Pós-graduação,Outras,Área da Saúde,1,São Paulo (SP),0,0,0
303,,"[25,30]",Engenheiro de Dados,,não,Menos de 1 ano,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,,1,0,1
304,1500.0,"[18,24]",Analista de BI,Média,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Marketing,1,Minas Gerais (MG),0,0,0
305,5000.0,"[25,30]",Cientista de Dados,Pequena,não,de 1 a 2 anos,Outras,Mestrado,Outras Engenharias,Outras,1,São Paulo (SP),1,0,1
306,,"[25,30]",,,,Menos de 1 ano,Outras,Graduação/Bacharelado,Outras Engenharias,,1,Paraná (PR),0,0,0
307,,"[25,30]",,,,Menos de 1 ano,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,,1,São Paulo (SP),0,0,0
308,1500.0,"[18,24]",Analista de BI,,não,Não tenho experiência na área de dados,Estagiário,Estudante de Graduação,Outras Engenharias,Indústria (Manufatura),1,,0,0,0
309,22500.0,"[18,24]",Cientista de Dados,Média,não,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,São Paulo (SP),1,0,1
310,14000.0,"[41,50]",,Média,sim,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Outras,Tecnologia/Fábrica de Software,1,,1,0,1
311,5000.0,"[31,40]",Cientista de Dados,Média,não,de 6 a 10 anos,Outras,Mestrado,Estatística/ Matemática / Matemática Computacional,Outras,1,,1,1,0
312,,"[25,30]",,,,de 1 a 2 anos,Outras,Mestrado,Economia/ Administração / Contabilidade / Finanças,,1,,0,0,0
313,7000.0,"[25,30]",Analista de Negócios,,não,Não tenho experiência na área de dados,Outras,Graduação/Bacharelado,Outras Engenharias,Outras,1,Rio de Janeiro (RJ),0,0,0
314,1500.0,"[18,24]",Outras,Pequena,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
315,,"[25,30]",,,,de 1 a 2 anos,Outras,Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,,1,Paraná (PR),0,0,0
316,18000.0,"[31,40]",Cientista de Dados,,não,de 4 a 5 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,São Paulo (SP),1,1,1
317,3500.0,"[18,24]",Desenvolvedor/Engenheiro de Software,Pequena,não,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),0,0,0
318,5000.0,"[25,30]",Analista de Negócios,Média,não,de 2 a 3 anos,Outras,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),0,1,1
319,7000.0,"[25,30]",,,não,de 1 a 2 anos,Outras,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Finanças ou Bancos,1,São Paulo (SP),0,1,1
320,5000.0,"[25,30]",,Pequena,sim,de 2 a 3 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Educação,1,Rio de Janeiro (RJ),1,0,1
321,3500.0,"[18,24]",Analista de Dados,,não,de 2 a 3 anos,Outras,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,São Paulo (SP),1,0,1
322,5000.0,"[31,40]",Analista de Dados,Média,não,de 2 a 3 anos,Outras,Graduação/Bacharelado,Outras,Marketing,1,Minas Gerais (MG),0,0,0
323,7000.0,"[25,30]",Engenheiro de Dados,Média,não,Menos de 1 ano,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Minas Gerais (MG),1,0,1
324,1500.0,"[18,24]",Outras,,não,Menos de 1 ano,Estagiário,Estudante de Graduação,Outras,Agronegócios,1,Santa Catarina (SC),1,0,0
325,7000.0,"[25,30]",,Pequena,sim,de 1 a 2 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Educação,1,Rio de Janeiro (RJ),1,1,0
326,3500.0,"[31,40]",Analista de Dados,Média,não,de 1 a 2 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,,1,0,1
327,7000.0,"[31,40]",Outras,Pequena,não,Não tenho experiência na área de dados,Outras,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Outras,1,Rio de Janeiro (RJ),1,0,1
328,5000.0,"[41,50]",,,sim,de 4 a 5 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Outras,1,Minas Gerais (MG),1,1,1
329,1000.0,"[31,40]",Analista de Dados,Média,não,de 6 a 10 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,1,,0,0,1
330,,"[31,40]",Analista de Negócios,Pequena,não,Menos de 1 ano,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,1,Santa Catarina (SC),1,0,1
331,,"[25,30]",Cientista de Dados,Pequena,não,de 4 a 5 anos,Outras,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,,1,Rio de Janeiro (RJ),0,1,1
332,3500.0,"[25,30]",Analista de Dados,Média,não,de 1 a 2 anos,Outras,Graduação/Bacharelado,Química / Física,Setor Público,1,São Paulo (SP),1,0,1
333,18000.0,"[31,40]",Outras,Grande,não,Menos de 1 ano,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,1,,0,0,0
334,,"[25,30]",,,,de 2 a 3 anos,Outras,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,1,,1,0,1
335,5000.0,"[31,40]",,Pequena,sim,de 4 a 5 anos,Outras,Pós-graduação,Química / Física,Entretenimento ou Esportes,0,,0,0,0
336,,"[25,30]",,,,de 4 a 5 anos,Outras,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,,1,,1,1,1
337,1500.0,"[18,24]",Outras,Pequena,não,Não tenho experiência na área de dados,Outras,Estudante de Graduação,Outras Engenharias,Tecnologia/Fábrica de Software,1,Rio Grande do Sul (RS),0,0,0
338,3500.0,"[31,40]",Outras,,não,Menos de 1 ano,Outras,Pós-graduação,Estatística/ Matemática / Matemática Computacional,Educação,1,Rio de Janeiro (RJ),0,0,0
339,1000.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Média,não,de 2 a 3 anos,Outras,Graduação/Bacharelado,Outras Engenharias,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
340,14000.0,"[18,24]",Desenvolvedor/Engenheiro de Software,,não,Não tenho experiência na área de dados,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Varejo,1,São Paulo (SP),0,0,0
341,5000.0,"[31,40]",Engenheiro de Dados,Média,não,de 2 a 3 anos,Outras,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),1,0,1
342,,"[18,24]",,,,de 2 a 3 anos,Outras,Estudante de Graduação,Outras Engenharias,,1,Minas Gerais (MG),0,0,0
343,,"[25,30]",Desenvolvedor/Engenheiro de Software,,não,de 2 a 3 anos,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,1,,1,1,1
344,3500.0,"[25,30]",Desenvolvedor/Engenheiro de Software,Pequena,não,Menos de 1 ano,Outras,Pós-graduação,Outras,Tecnologia/Fábrica de Software,1,São Paulo (SP),0,0,0
345,3500.0,"[25,30]",Analista de Dados,Pequena,não,de 1 a 2 anos,Outras,Pós-graduação,Outras Engenharias,Tecnologia/Fábrica de Software,1,Santa Catarina (SC),1,1,1
